dane,Contributivo
05001,1535192
05002,2533
05004,217
05021,530
05030,12206
05031,5756
05034,8152
05036,1397
05038,875
05040,2099
05042,6756
05044,993
05045,80124
05051,3283
05055,608
05059,1648
05079,15590
05086,942
05088,225886
05091,633
05093,1310
05101,6682
05107,530
05113,723
05120,687
05125,408
05129,51173
05134,743
05138,1467
05142,1051
05145,739
05147,20219
05148,17104
05150,1642
05154,23572
05172,24328
05190,2623
05197,1777
05206,577
05209,3793
05212,33422
05234,1221
05237,10136
05240,1755
05250,7279
05264,5565
05266,123194
05282,6770
05284,2581
05306,421
05308,27208
05310,2587
05313,1247
05315,2148
05318,15141
05321,2218
05347,891
05353,725
05360,211565
05361,1780
05364,2549
05368,3898
05376,37622
05380,12461
05390,2549
05400,8534
05411,1122
05425,1396
05440,23112
05467,917
05475,136
05480,1522
05483,717
05490,3714
05495,1109
05501,189
05541,3670
05543,392
05576,1195
05579,16088
05585,4318
05591,393
05604,2455
05607,7595
05615,86546
05628,779
05631,25195
05642,1975
05647,627
05649,2573
05652,376
05656,3972
05658,1020
05659,1245
05660,2510
05664,11174
05665,2442
05667,2697
05670,2737
05674,1918
05679,5802
05686,14161
05690,1430
05697,8536
05736,12307
05756,4810
05761,2557
05789,3808
05790,2082
05792,1301
05809,3338
05819,406
05837,29930
05842,463
05847,3263
05854,890
05856,1319
05858,1292
05861,3997
05873,221
05885,812
05887,12564
05890,2735
05893,596
05895,1861
08001,752404
08078,11640
08137,539
08141,387
08296,6230
08372,408
08421,1122
08433,22323
08436,683
08520,2170
08549,102
08558,748
08560,699
08573,4886
08606,685
08634,2542
08638,23505
08675,316
08685,5409
08758,164091
08770,663
08832,568
08849,402
11001,4856748
13001,478968
13006,217
13030,15
13042,165
13052,5237
13062,56
13074,57
13140,1052
13160,185
13188,191
13212,143
13222,69
13244,10786
13248,70
13268,6
13300,64
13430,23029
13433,426
13440,55
13442,1839
13458,45
13468,5059
13473,251
13490,0
13549,225
13580,77
13600,423
13620,151
13647,489
13650,41
13654,3580
13655,40
13657,2970
13667,276
13670,1277
13673,413
13683,605
13688,2114
13744,557
13760,455
13780,106
13810,90
13836,17967
13838,1055
13873,868
13894,1686
15001,98711
15022,29
15047,755
15051,102
15087,834
15090,6
15092,117
15097,317
15104,140
15106,22
15109,37
15114,22
15131,168
15135,30
15162,233
15172,46
15176,25646
15180,41
15183,48
15185,15
15187,32
15189,78
15204,207
15212,134
15215,580
15218,54
15223,503
15224,103
15226,60
15232,19
15236,9
15238,64163
15244,786
15248,31
15272,933
15276,192
15293,29
15296,686
15299,5639
15317,25
15322,4164
15325,170
15332,380
15362,177
15367,61
15368,103
15377,77
15380,39
15401,79
15403,147
15407,5127
15425,72
15442,38
15455,2141
15464,674
15466,1299
15469,5806
15476,49
15480,1328
15491,4071
15494,44
15500,113
15507,1095
15511,42
15514,14
15516,12610
15518,74
15522,6
15531,465
15533,5
15537,1988
15542,489
15550,14
15572,14334
15580,9
15599,1786
15600,244
15621,83
15632,231
15638,14
15646,8507
15660,8
15664,98
15667,652
15673,83
15676,199
15681,30
15686,718
15690,873
15693,765
15696,35
15720,105
15723,155
15740,43
15753,3067
15755,1579
15757,2592
15759,73434
15761,38
15762,19
15763,649
15764,74
15774,31
15776,258
15778,61
15790,1287
15798,322
15804,135
15806,1401
15808,42
15810,24
15814,1839
15816,34
15820,766
15822,117
15832,16
15835,697
15837,312
15839,32
15842,206
15861,1236
15879,23
15897,55
17001,252505
17013,2854
17042,5845
17050,1867
17088,1321
17174,22017
17272,728
17380,29851
17388,537
17433,2426
17442,1233
17444,844
17446,184
17486,2778
17495,57
17513,1684
17524,2322
17541,2986
17614,5810
17616,1257
17653,3345
17662,812
17665,332
17777,4227
17867,836
17873,13878
17877,4324
18001,49190
18029,203
18094,1005
18150,1312
18205,545
18247,2486
18256,1104
18410,382
18460,189
18479,158
18592,1911
18610,413
18753,3503
18756,274
18785,398
18860,288
19001,128320
19022,269
19050,221
19075,420
19100,1037
19110,557
19130,637
19137,411
19142,6503
19212,4939
19256,1176
19290,196
19300,0
19318,3241
19355,994
19364,239
19392,383
19397,492
19418,450
19450,444
19455,8834
19473,502
19513,1384
19517,693
19532,3606
19533,77
19548,4009
19573,29516
19585,496
19622,397
19693,191
19698,34225
19701,66
19743,723
19760,170
19780,544
19785,80
19807,2985
19809,962
19821,627
19824,295
19845,2619
20001,167717
20011,25667
20013,15249
20032,399
20045,1014
20060,6660
20175,773
20178,2732
20228,2400
20238,5453
20250,7131
20295,303
20310,19
20383,955
20400,10749
20443,258
20517,963
20550,447
20570,198
20614,106
20621,1150
20710,11721
20750,412
20770,4055
20787,547
23001,158633
23068,2951
23079,2064
23090,481
23162,23971
23168,136
23182,3739
23189,4048
23300,132
23350,381
23417,18752
23419,185
23464,164
23466,20911
23500,435
23555,16767
23570,2011
23574,408
23580,1765
23586,180
23660,16435
23670,2652
23672,909
23675,2085
23678,278
23682,0
23686,1702
23807,7590
23815,0
23855,2038
25001,35553
25019,324
25035,1077
25040,1427
25053,1427
25086,67
25095,75
25099,2700
25120,179
25123,1007
25126,27763
25148,317
25151,2587
25154,452
25168,80
25175,72841
25178,608
25181,1007
25183,5966
25200,5506
25214,13162
25224,1429
25245,4771
25258,73
25260,7759
25269,82167
25279,1663
25281,284
25286,33724
25288,257
25290,51323
25293,323
25295,5718
25297,1708
25299,184
25307,62777
25312,320
25317,2806
25320,4354
25322,6783
25324,64
25326,1366
25328,175
25335,155
25339,108
25368,87
25372,442
25377,9988
25386,14122
25394,706
25398,80
25402,3051
25407,1030
25426,407
25430,41545
25436,158
25438,950
25473,30046
25483,120
25486,3865
25488,631
25489,130
25491,654
25506,118
25513,4765
25518,66
25524,134
25530,143
25535,393
25572,565
25580,77
25592,214
25594,179
25596,114
25599,790
25612,926
25645,460
25649,472
25653,92
25658,1154
25662,402
25718,1867
25736,4013
25740,8851
25743,1619
25745,2330
25754,105233
