DANE,Contributivo
05001,1656522
05002,2591
05004,235
05021,655
05030,13324
05031,4996
05034,8764
05036,1605
05038,983
05040,1749
05042,7845
05044,1211
05045,85302
05051,3697
05055,690
05059,1610
05079,17736
05086,1051
05088,252989
05091,771
05093,1543
05101,6898
05107,677
05113,1144
05120,866
05125,627
05129,55990
05134,615
05138,1459
05142,1382
05145,908
05147,22099
05148,18769
05150,1535
05154,26143
05172,25550
05190,2921
05197,2053
05206,650
05209,3827
05212,34132
05234,1338
05237,11056
05240,1859
05250,8950
05264,5869
05266,135048
05282,7323
05284,2839
05306,531
05308,28973
05310,2600
05313,1484
05315,1672
05318,17610
05321,2525
05347,926
05353,864
05360,232691
05361,2053
05364,2701
05368,4256
05376,42195
05380,9625
05390,2910
05400,9086
05411,1137
05425,1701
05440,25340
05467,983
05475,133
05480,1655
05483,898
05490,4236
05495,1588
05501,194
05541,4213
05543,436
05576,1247
05579,17472
05585,4164
05591,469
05604,3471
05607,7713
05615,95818
05628,814
05631,32101
05642,2192
05647,1129
05649,2722
05652,401
05656,3980
05658,1112
05659,1426
05660,2675
05664,12065
05665,2379
05667,3104
05670,3388
05674,2118
05679,6069
05686,14813
05690,1355
05697,9620
05736,16131
05756,5440
05761,2721
05789,4055
05790,2495
05792,1701
05809,4026
05819,697
05837,32933
05842,459
05847,3494
05854,1020
05856,1542
05858,2023
05861,4000
05873,210
05885,943
05887,13524
05890,2590
05893,615
05895,2482
08001,781164
08078,11591
08137,407
08141,260
08296,5828
08372,1214
08421,419
08433,17791
08436,268
08520,1462
08549,107
08558,485
08560,318
08573,2978
08606,345
08634,1387
08638,27077
08675,204
08685,5071
08758,185925
08770,523
08832,477
08849,314
11001,5375150
13001,502078
13006,203
13030,11
13042,243
13052,5332
13062,69
13074,46
13140,472
13160,272
13188,140
13212,62
13222,115
13244,8876
13248,12
13268,11
13300,86
13430,23616
13433,433
13440,35
13442,2156
13458,41
13468,4651
13473,255
13490,0
13549,228
13580,145
13600,447
13620,114
13647,364
13650,73
13654,366
13655,18
13657,2218
13667,371
13670,1528
13673,330
13683,624
13688,1805
13744,517
13760,509
13780,34
13810,55
13836,21345
13838,1101
13873,438
13894,1857
15001,108529
15022,18
15047,917
15051,96
15087,832
15090,16
15092,112
15097,378
15104,230
15106,43
15109,73
15114,30
15131,203
15135,88
15162,250
15172,53
15176,27001
15180,38
15183,64
15185,21
15187,41
15189,70
15204,182
15212,92
15215,845
15218,33
15223,552
15224,92
15226,68
15232,11
15236,6
15238,71517
15244,885
15248,26
15272,990
15276,189
15293,42
15296,988
15299,6724
15317,20
15322,4652
15325,188
15332,686
15362,229
15367,205
15368,567
15377,158
15380,43
15401,56
15403,145
15407,5723
15425,83
15442,35
15455,3378
15464,1076
15466,1262
15469,6558
15476,51
15480,1879
15491,3889
15494,54
15500,141
15507,1097
15511,37
15514,102
15516,14054
15518,141
15522,8
15531,616
15533,16
15537,2092
15542,494
15550,32
15572,19471
15580,7
15599,2257
15600,595
15621,75
15632,276
15638,42
15646,11444
15660,10
15664,119
15667,777
15673,127
15676,200
15681,34
15686,927
15690,780
15693,894
15696,58
15720,117
15723,109
15740,76
15753,3714
15755,2206
15757,3845
15759,77753
15761,43
15762,36
15763,772
15764,136
15774,30
15776,431
15778,52
15790,1572
15798,241
15804,197
15806,1526
15808,52
15810,34
15814,2064
15816,27
15820,1023
15822,134
15832,15
15835,614
15837,319
15839,30
15842,245
15861,1363
15879,24
15897,55
17001,272081
17013,3060
17042,6174
17050,1827
17088,1455
17174,24042
17272,1007
17380,35191
17388,565
17433,2582
17442,1834
17444,1024
17446,249
17486,2924
17495,113
17513,1695
17524,2534
17541,3075
17614,6351
17616,1371
17653,3518
17662,968
17665,443
17777,4958
17867,1018
17873,15220
17877,4570
18001,51247
18029,243
18094,1132
18150,1477
18205,565
18247,2486
18256,1047
18410,460
18460,216
18479,183
18592,2090
18610,461
18753,4095
18756,461
18785,591
18860,295
19001,132294
19022,288
19050,231
19075,360
19100,908
19110,714
19130,688
19137,420
19142,6404
19212,4574
19256,1120
19290,202
19300,66
19318,3171
19355,990
19364,292
19392,240
19397,488
19418,506
19450,430
19455,8971
19473,408
19513,1505
19517,700
19532,3929
19533,76
19548,4722
19573,29231
19585,563
19622,411
19693,208
19698,35641
19701,82
19743,839
19760,162
19780,547
19785,74
19807,3616
19809,881
19821,704
19824,310
19845,3391
20001,180608
20011,31125
20013,16238
20032,548
20045,1136
20060,7070
20175,1128
20178,3130
20228,2572
20238,5839
20250,8684
20295,256
20310,44
20383,1066
20400,12864
20443,288
20517,970
20550,1258
20570,249
20614,129
20621,1162
20710,13488
20750,394
20770,4535
20787,505
23001,170293
23068,3024
23079,2015
23090,633
23162,25962
23168,152
23182,3562
23189,4519
23300,170
23350,341
23417,19233
23419,188
23464,161
23466,24873
23500,427
23555,16093
23570,2245
23574,505
23580,2456
23586,166
23660,16178
23670,2716
23672,1252
23675,2264
23678,270
23682,1
23686,1967
23807,7684
23815,1
23855,2038
25001,5463
25019,386
25035,1164
25040,1530
25053,1494
25086,43
25095,77
25099,2889
25120,160
25123,1035
25126,31182
25148,275
25151,3229
25154,478
25168,92
25175,85076
25178,693
25181,1139
25183,6658
25200,5168
25214,17096
25224,1530
25245,5504
25258,71
25260,9917
25269,88951
25279,1718
25281,282
25286,38022
25288,247
25290,60293
25293,362
25295,6101
25297,1736
25299,221
25307,69477
25312,396
25317,2651
25320,5092
25322,7166
25324,67
25326,1461
25328,193
25335,393
25339,119
25368,141
25372,495
25377,12037
25386,16952
25394,736
25398,146
25402,3395
25407,1357
25426,430
25430,46934
25436,160
25438,694
25473,39025
25483,139
25486,3710
25488,709
25489,169
25491,737
25506,155
25513,5309
25518,58
25524,156
25530,140
25535,420
25572,774
25580,70
25592,279
25594,252
25596,125
25599,906
25612,949
25645,492
25649,470
25653,101
25658,1239
25662,455
25718,2006
25736,4090
25740,9236
25743,1668
25745,2375
25754,130891
25758,14690
25769,6598
25772,8948
25777,338
25779,274
25781,1089
25785,7868
25793,965
25797,342
25799,11103
25805,164
25807,42
25815,1802
25817,22331
25823,51
25839,631
25841,345
25843,37775
25845,494
25851,334
25862,321
25867,173
25871,58
25873,2352
25875,10815
25878,819
25885,385
25898,471
25899,89616
27001,34557
27006,1004
27025,68
27050,49
27073,135
27075,290
27077,96
27099,43
27135,32
27150,72
27160,25
27205,1114
27245,683
27250,41
27361,4910
27372,19
27413,65
27425,7
27430,30
27450,112
27491,131
27495,147
27580,22
27600,15
27615,628
27660,208
27745,57
27787,528
27800,676
27810,145
41001,195885
41006,267
41013,699
41016,2284
41020,410
41026,148
41078,495
41132,7392
41206,296
41244,141
41298,16693
41306,4712
41319,1156
41349,342
41357,618
41359,991
41378,544
41396,10611
41483,105
41503,278
41518,266
41524,1778
41530,162
41548,502
41551,35137
41615,1624
41660,266
41668,1775
41676,503
41770,843
41791,963
41797,1227
41799,355
41801,437
41807,957
41872,342
41885,2005
44001,63181
44035,9564
44078,9258
44090,1012
44098,492
44110,518
44279,10982
44378,4570
44420,65
44430,29716
44560,1007
44650,11627
44847,4047
44855,1554
44874,5122
47001,241210
47030,3522
47053,9999
47058,1243
47161,104
47170,654
47189,42431
47205,54
47245,4751
47258,124
47268,306
47288,27486
47318,436
47460,9
47541,15
47545,185
47551,1780
47555,9156
47570,372
47605,43
47660,120
47675,105
47692,144
47703,82
47707,397
47720,121
47745,170
47798,24
47960,7
47980,12765
50001,267168
50006,36427
50110,141
50124,615
50150,3101
50223,316
50226,10434
50245,148
50251,323
50270,372
50287,821
50313,17917
50318,1005
50325,482
50330,502
50350,470
50370,259
50400,321
50450,317
50568,11479
50573,8563
50577,706
50590,413
50606,4220
50680,3414
50683,516
50686,147
50689,8748
50711,796
52001,166157
52019,192
52022,101
52036,222
52051,353
52079,950
52083,202
52110,498
52203,246
52207,153
52210,95
52215,123
52224,101
52227,311
52233,283
52240,425
52250,244
52254,38
52256,199
52258,300
52260,364
52287,127
52317,245
52320,93
52323,69
52352,76
52354,77
52356,26392
52378,928
52381,111
52385,49
52390,15
52399,3702
52405,105
52411,198
52418,172
52427,48
52435,62
52473,140
52480,90
52490,156
52506,59
52520,18
52540,211
52560,111
52565,30
52573,182
52585,180
52612,553
52621,106
52678,2499
52683,740
52685,123
52687,243
52693,802
52694,93
52696,77
52699,90
52720,38
52786,186
52788,155
52835,28572
52838,7444
52885,178
54001,333927
54003,381
54051,289
54099,243
54109,64
54125,16
54128,160
54172,753
54174,51
54206,261
54223,97
54239,98
54245,128
54250,26
54261,1055
54313,211
54344,31
54347,62
54377,63
54385,163
54398,47
54405,9500
54418,83
54480,15
54498,35541
54518,21329
54520,60
54553,54
54599,131
54660,291
54670,38
54673,173
54680,60
54720,1102
54743,13
54800,57
54810,6200
54820,740
54871,108
54874,5709
63001,164531
63111,257
63130,22996
63190,4776
63212,573
63272,2115
63302,815
63401,8278
63470,8879
63548,1047
63594,7805
63690,1125
66001,302785
66045,1826
66075,700
66088,4236
66170,102105
66318,1014
66383,726
66400,17889
66440,3355
66456,1039
66572,867
66594,2004
66682,31183
66687,2448
68001,454422
68013,93
68020,50
68051,324
68077,13550
68079,303
68081,112122
68092,434
68101,286
68121,75
68132,1035
68147,170
68152,48
68160,39
68162,403
68167,787
68169,109
68176,158
68179,121
68190,4508
68207,192
68209,66
68211,755
68217,60
68229,417
68235,1031
68245,107
68250,154
68255,2154
68264,26
68266,59
68271,126
68276,140116
68296,139
68298,75
68307,63623
68318,185
68320,595
68322,88
68324,93
68327,302
68344,31
68368,74
68370,1
68377,326
68385,714
68397,186
68406,14251
68418,1560
68425,52
68432,7839
68444,324
68464,671
68468,48
68498,76
68500,1498
68502,166
68522,41
68524,61
68533,131
68547,55624
68549,159
68572,2246
68573,291
68575,12177
68615,2826
68655,7365
68669,384
68673,53
68679,41199
68682,77
68684,88
68686,40
68689,6963
68705,49
68720,48
68745,359
68755,14846
68770,851
68773,185
68780,299
68820,146
68855,164
68861,4823
68867,671
68872,210
68895,1609
70001,106390
70110,74
70124,292
70204,41
70215,16324
70221,2263
70230,46
70233,21
70235,266
70265,263
70400,583
70418,629
70429,1249
70473,317
70508,1568
70523,65
70670,2550
70678,508
70702,184
70708,4462
70713,3409
70717,1566
70742,2669
70771,497
70820,8232
70823,1628
73001,301825
73024,311
73026,704
73030,1512
73043,231
73055,1165
73067,508
73124,4097
73148,988
73152,128
73168,9898
73200,261
73217,735
73226,257
73236,223
73268,37998
73270,318
73275,3433
73283,5364
73319,2011
73347,105
73349,10316
73352,401
73408,6188
73411,7964
73443,12480
73449,16736
73461,128
73483,613
73504,1372
73520,301
73547,760
73555,527
73563,756
73585,3120
73616,253
73622,636
73624,722
73671,1005
73675,345
73678,308
73686,490
73770,97
73854,150
73861,1579
73870,328
73873,217
76001,1404752
76020,1942
76036,5816
76041,3604
76054,603
76100,1412
76109,94575
76111,71450
76113,8124
76122,9172
76126,3892
76130,35500
76147,69708
76233,7816
76243,737
76246,695
76248,24635
76250,916
76275,29288
76306,6427
76318,13607
76364,44043
76377,1596
76400,8972
76403,3632
76497,2641
76520,173674
76563,22170
76606,4347
76616,3753
76622,11402
76670,3971
76736,8927
76823,2218
76828,1924
76834,108178
76845,892
76863,1246
76869,2183
76890,3481
76892,47765
76895,20197
81001,21825
81065,1673
81220,154
81300,250
81591,123
81736,7491
81794,4187
85001,73400
85010,11531
85015,100
85125,829
85136,58
85139,3154
85162,4890
85225,529
85230,1427
85250,4581
85263,929
85279,88
85300,867
85315,126
85325,846
85400,330
85410,7596
85430,1333
85440,16337
86001,12963
86219,149
86320,7930
86568,11461
86569,262
86571,623
86573,1160
86749,2965
86755,90
86757,358
86760,92
86865,2086
86885,2062
88001,28540
88564,1415
91001,12082
91540,76
94001,3719
95001,10429
95015,259
95025,479
95200,212
97001,2418
97161,17
97666,0
99001,4945
99524,33
99624,10
99773,57
