DANE,Subsidiado
25596,5919
25599,5026
25612,4695
25645,5331
25649,7296
25653,3880
25658,4645
25662,6813
25718,5802
25736,2717
25740,13501
25743,14661
25745,6259
25754,97362
25758,2458
25769,4674
25772,3958
25777,3119
25779,4984
25781,1966
25785,4062
25793,3591
25797,4845
25799,4301
25805,3234
25807,2212
25815,10036
25817,4358
25823,3326
25839,7659
25841,5831
25843,15354
25845,5830
25851,3454
25862,6303
25867,3012
25871,1587
25873,10977
25875,13535
25878,10061
25885,12272
25898,2261
25899,26937
27001,92011
27006,11850
27025,25025
27050,6477
27073,10256
27075,10408
27077,16589
27099,13070
27135,5132
27150,5864
27160,3669
27205,11512
27245,6257
27250,11151
27361,27783
27372,3743
27413,10365
27425,7468
27430,10783
27450,8387
27491,6991
27495,7693
27580,5375
27600,7795
27615,25609
27660,4450
27745,3886
27787,18849
27800,11620
27810,4956
41001,155623
41006,27116
41013,7030
41016,12659
41020,19171
41026,2242
41078,6041
41132,23607
41206,6952
41244,2894
41298,52205
41306,17644
41319,15405
41349,5364
41357,8859
41359,22212
41378,12100
41396,46997
41483,4662
41503,10155
41518,4276
41524,15268
41530,10339
41548,11070
41551,89229
41615,13052
41660,10019
41668,29005
41676,9469
41770,15049
41791,14220
41797,7377
41799,10015
41801,6074
41807,16957
41872,5723
41885,4762
44001,172270
44035,15261
44078,17398
44090,26607
44098,7359
44110,5991
44279,20987
44378,11184
44420,1756
44430,145331
44560,59850
44650,31731
44847,120238
44855,7143
44874,16960
47001,289130
47030,10459
47053,23223
47058,27230
47161,7728
47170,16414
47189,91094
47205,8980
47245,62823
47258,18672
47268,15657
47288,55039
47318,25944
47460,18659
47541,8270
47545,9465
47551,35002
47555,62318
47570,20291
47605,7601
47660,11341
47675,7967
47692,19785
47703,7845
47707,20784
47720,9596
47745,16772
47798,12280
47960,7303
47980,45083
50001,143226
50006,27487
50110,2292
50124,2771
50150,4644
50223,3863
50226,7884
50245,1535
50251,6646
50270,3230
50287,8579
50313,29408
50318,5351
50325,4472
50330,7195
50350,7233
50370,7062
50400,8562
50450,7058
50568,21681
50573,17312
50577,7489
50590,8151
50606,6243
50680,4812
50683,5014
50686,1278
50689,9723
50711,14691
52001,199249
52019,7788
52022,7481
52036,7714
52051,6855
52079,33124
52083,5189
52110,18718
52203,7901
52207,9372
52210,6378
52215,14566
52224,9399
52227,32019
52233,7113
52240,8964
52250,16168
52254,5840
52256,8115
52258,13871
52260,13214
52287,6350
52317,17097
52320,12410
52323,5479
52352,7014
52354,6246
52356,85464
52378,14198
52381,9407
52385,3710
52390,5418
52399,24812
52405,8943
52411,9801
52418,9164
52427,8606
52435,7954
52473,9989
52480,2918
52490,17416
52506,6193
52520,6033
52540,11823
52560,11924
52565,5568
52573,7811
52585,16002
52612,16660
52621,11282
