DANE,Contributivo
27160,13
27205,1151
27245,600
27250,50
27361,4413
27372,36
27413,65
27425,6
27430,24
27450,100
27491,107
27495,133
27580,7
27600,9
27615,638
27660,213
27745,31
27787,489
27800,667
27810,102
41001,179637
41006,243
41013,543
41016,1986
41020,404
41026,138
41078,422
41132,6669
41206,291
41244,110
41298,14989
41306,3435
41319,1195
41349,205
41357,505
41359,919
41378,644
41396,9903
41483,105
41503,236
41518,331
41524,1655
41530,118
41548,509
41551,31049
41615,1428
41660,258
41668,1611
41676,460
41770,794
41791,910
41797,1102
41799,294
41801,351
41807,919
41872,362
41885,1860
44001,61109
44035,8329
44078,8333
44090,680
44098,435
44110,463
44279,10345
44378,4211
44420,55
44430,26841
44560,1050
44650,10590
44847,3476
44855,1482
44874,4989
47001,237502
47030,3151
47053,9799
47058,1182
47161,94
47170,620
47189,42715
47205,12
47245,4901
47258,77
47268,329
47288,27742
47318,579
47460,8
47541,18
47545,62
47551,2812
47555,9014
47570,501
47605,25
47660,113
47675,65
47692,170
47703,53
47707,268
47720,187
47745,172
47798,18
47960,5
47980,12051
50001,238950
50006,31746
50110,131
50124,529
50150,2654
50223,279
50226,8970
50245,126
50251,165
50270,310
50287,844
50313,16066
50318,916
50325,407
50330,427
50350,361
50370,211
50400,248
50450,226
50568,10507
50573,7797
50577,598
50590,354
50606,3922
50680,2673
50683,322
50686,132
50689,7998
50711,641
52001,159702
52019,173
52022,64
52036,201
52051,89
52079,790
52083,151
52110,428
52203,234
52207,146
52210,83
52215,126
52224,85
52227,294
52233,204
52240,297
52250,200
52254,18
52256,180
52258,199
52260,323
52287,89
52317,184
52320,103
52323,76
52352,114
52354,79
52356,25347
52378,836
52381,102
52385,48
52390,11
52399,3076
52405,59
52411,192
52418,115
52427,18
52435,67
52473,108
52480,74
52490,181
52506,49
52520,32
52540,202
52560,56
52565,22
52573,107
52585,152
52612,503
52621,66
52678,2374
52683,686
52685,114
52687,248
52693,799
52694,62
52696,42
52699,47
52720,62
52786,119
52788,166
52835,26980
52838,6916
52885,108
54001,324126
54003,376
54051,329
54099,284
54109,69
54125,11
54128,217
54172,1008
54174,58
54206,269
54223,97
54239,112
54245,131
54250,37
54261,1096
54313,507
54344,23
54347,88
54377,155
54385,139
54398,52
54405,9287
54418,76
54480,18
54498,33341
54518,20666
54520,53
54553,53
54599,142
54660,261
54670,41
54673,171
54680,70
54720,881
54743,15
54800,78
54810,5513
54820,885
54871,105
54874,5524
63001,155405
63111,249
63130,21698
63190,4671
63212,473
63272,2030
63302,816
63401,7828
63470,8333
63548,928
63594,7728
63690,1069
66001,289028
66045,1881
66075,661
66088,4006
66170,97417
66318,903
66383,750
66400,16336
66440,3187
66456,846
66572,741
66594,1860
66682,28650
66687,2261
68001,429303
68013,69
68020,47
68051,376
68077,12699
68079,268
68081,99118
68092,431
68101,328
68121,65
68132,929
68147,158
68152,50
68160,60
68162,406
68167,820
68169,100
68176,161
68179,130
68190,4306
68207,191
68209,52
68211,722
68217,59
68229,415
68235,821
68245,103
68250,126
68255,2070
68264,22
68266,65
68271,180
68276,132830
68296,138
68298,71
68307,58380
68318,164
68320,632
68322,93
68324,106
68327,306
68344,51
68368,75
68370,2
68377,285
68385,643
68397,177
68406,13606
68418,1503
68425,46
68432,7212
68444,257
68464,618
68468,49
68498,66
68500,1550
68502,206
68522,33
68524,54
68533,98
68547,51460
68549,140
68572,2327
68573,201
68575,12337
68615,2567
68655,7047
68669,368
68673,51
68679,38389
68682,59
68684,89
68686,46
68689,6443
68705,50
68720,42
68745,366
68755,13947
68770,813
68773,230
68780,291
68820,142
68855,167
68861,4681
68867,575
68872,194
68895,1495
70001,103245
70110,81
70124,243
70204,26
70215,15515
70221,1850
70230,24
70233,7
70235,258
70265,142
70400,562
70418,524
70429,1278
70473,244
70508,1689
70523,64
70670,2416
70678,404
70702,267
70708,4004
70713,3124
70717,1344
70742,2505
70771,415
70820,7848
70823,1481
73001,288332
73024,321
73026,683
73030,1791
73043,218
73055,1186
73067,492
73124,3448
73148,871
73152,123
