DANE,IPM
05,38.39
08,47.89
11,19.83
13,58.61
15,57.01
17,42.99
18,47.96
19,66.04
20,63.39
23,62.05
25,30.01
27,72.7
41,58.01
44,69.79
47,64.59
50,32.73
52,56.17
54,50.23
63,43.31
66,34.5
68,30.83
70,67.01
73,46.95
76,33
