DANE,IPM
05,35.19
08,47.49
11,18.29
13,56.88
15,46.61
17,42.84
18,52.2
19,66.13
20,58.52
23,61.8
25,26.79
27,67.41
41,57.45
44,65.93
47,58.15
50,35.83
52,54.56
54,47.64
63,49.8
66,32.19
68,27.37
70,66.55
73,48.15
76,33.04
