Divipola;Subsidiado
25596;5704
25599;4708
25612;4584
25645;5605
25649;7104
25653;4233
25658;4147
25662;6290
25718;6115
25736;2620
25740;13298
25743;11656
25745;5813
25754;96727
25758;2507
25769;4649
25772;4313
25777;3124
25779;5281
25781;2253
25785;3228
25793;3757
25797;4843
25799;3726
25805;2775
25807;2360
25815;11334
25817;3923
25823;2756
25839;7818
25841;5967
25843;14983
25845;5580
25851;3417
25862;6359
25867;2604
25871;1668
25873;10372
25875;14393
25878;10162
25885;12496
25898;1576
25899;25066
27001;78867
27006;10433
27025;22372
27050;5912
27073;8905
27075;8865
27077;16407
27099;11480
27135;5034
27150;5314
27160;3514
27205;10833
27245;6604
27250;10855
27361;23521
27372;3661
27413;9723
27425;6422
27430;10158
27450;8011
27491;6859
27495;7200
27580;5165
27600;7440
27615;21602
27660;5215
27745;3430
27787;18704
27800;11597
27810;4134
41001;147599
41006;24667
41013;7347
41016;12430
41020;19381
41026;2494
41078;6872
41132;23793
41206;7138
41244;2797
41298;54010
41306;19372
41319;15290
41349;5564
41357;8631
41359;21874
41378;11974
41396;40736
41483;4700
41503;9796
41518;4137
41524;15665
41530;10025
41548;10542
41551;78525
41615;13774
41660;9278
41668;28159
41676;8596
41770;13216
41791;14570
41797;7850
41799;10739
41801;6173
41807;17095
41872;6052
41885;5086
44001;116038
44035;13907
44078;16787
44090;22678
44098;6151
44110;5579
44279;17138
44378;9784
44420;1766
44430;114670
44560;56442
44650;25502
44847;97837
44855;6751
44874;13063
47001;265357
47030;10750
47053;25151
47058;20850
47161;7094
47170;15732
47189;78223
47205;8890
47245;50364
47258;17188
47268;12042
47288;52734
47318;21624
47460;12499
47541;9067
47545;8740
47551;37929
47555;47562
47570;18370
47605;7827
47660;1632
47675;7492
47692;14603
47703;6981
47707;15357
47720;8715
47745;13740
47798;12811
47960;7709
47980;39029
50001;145726
50006;28259
50110;2103
50124;2330
50150;4980
50223;3796
50226;8282
50245;1747
50251;6506
50270;3052
50287;7514
50313;28563
50318;5467
50325;5528
50330;6647
50350;6693
50370;7189
50400;8343
50450;6794
50568;17718
50573;18401
50577;8140
50590;8222
50606;5029
50680;4074
50683;4916
50686;1137
50689;9258
50711;16143
52001;209307
52019;8239
52022;7609
52036;9687
52051;7616
52079;25984
52083;5183
52110;16766
52203;8223
52207;10259
