DANE,Subsidiado
05001,644079
05002,14819
05004,1578
05021,2891
05030,11828
05031,14638
05034,27011
05036,3665
05038,9947
05040,11704
05042,15617
05044,5835
05045,51698
05051,24004
05055,7179
05059,3363
05079,18201
05086,3603
05088,88922
05091,7208
05093,13100
05101,18348
05107,6916
05113,5531
05120,27238
05125,6725
05129,17369
05134,6693
05138,12192
05142,3407
05145,3592
05147,22030
05148,14651
05150,2081
05154,61009
05172,35695
05190,5871
05197,10233
05206,3172
05209,14074
05212,15153
05234,16138
05237,6219
05240,8560
05250,37380
05264,2196
05266,18187
05282,9313
05284,18082
05306,3045
05308,12788
05310,5204
05313,6851
05315,4039
05318,9547
05321,2322
05347,4686
05353,2825
05360,49130
05361,20735
05364,9258
05368,6512
05376,10611
05380,11880
05390,4704
05400,7004
05411,7817
05425,6177
05440,16457
05467,4732
05475,2949
05480,13633
05483,9642
05490,43327
05495,19511
05501,2208
05541,11957
05543,6984
05576,6010
05579,25788
05585,8093
05591,8693
05604,15504
05607,4183
05615,17458
05628,7849
05631,4766
05642,12675
05647,5189
05649,8366
05652,4817
05656,6124
05658,1860
05659,18112
05660,8448
05664,8633
05665,26069
05667,8996
05670,13017
05674,15387
05679,14362
05686,15238
05690,7711
05697,14833
05736,21697
05756,25374
05761,8279
05789,9220
05790,32165
05792,3996
05809,4313
05819,4533
05837,80867
05842,5808
05847,24711
05854,13680
05856,3778
05858,9408
05861,6670
05873,7049
05885,5104
05887,28378
05890,15320
05893,10957
05895,19996
08001,507502
08078,36050
08137,20427
08141,11791
08296,21785
08372,12565
08421,19731
08433,73862
08436,13645
08520,14442
08549,4917
08558,9810
08560,15519
08573,14914
08606,18944
08634,15772
08638,49944
08675,10925
08685,14870
08758,241205
08770,8719
08832,9619
08849,6756
11001,1352589
13001,412307
13006,21588
13030,9099
13042,7543
13052,40291
13062,5874
13074,14007
13140,16161
13160,7593
13188,10496
13212,15613
13222,10841
13244,57075
13248,7652
13268,8338
13300,11199
13430,115696
13433,19667
13440,8622
13442,38548
13458,8574
13468,43607
13473,15526
13490,2226
13549,23024
13580,5688
13600,15306
13620,5793
13647,12678
13650,9877
13654,19988
13655,11321
13657,27059
13667,14804
13670,21977
13673,10473
13683,11962
13688,24957
13744,16632
13760,7084
13780,11374
13810,19569
13836,37185
13838,10620
13873,15950
13894,8450
15001,50326
15022,1712
15047,14586
15051,4112
15087,5837
15090,1791
15092,1658
15097,5211
15104,4244
15106,2223
15109,4766
15114,545
15131,3124
15135,2950
15162,2484
15172,2679
15176,26505
15180,3930
15183,9216
15185,5533
15187,2320
15189,4060
15204,9094
15212,3638
15215,1311
15218,2688
15223,5715
15224,3155
15226,1456
15232,5370
15236,1806
15238,38345
15244,4405
15248,2507
15272,3778
15276,2768
15293,2658
15296,3604
15299,9945
15317,1521
15322,6456
15325,3399
15332,4216
