DANE,IPM
05,47.45
08,50.21
11,31.35
13,65.32
15,67.18
17,45.78
18,52.26
19,58.21
20,61.07
23,66.66
25,49.95
27,67.3
41,69.93
44,65.54
47,65.31
50,41.65
52,65.66
54,56.1
63,46.51
66,37.41
68,44.53
70,69.15
73,55.33
76,39.12
