DANE,Subsidiado
05001,578996
05002,14127
05004,1569
05021,2855
05030,10770
05031,12954
05034,22129
05036,3202
05038,9598
05040,10892
05042,13972
05044,5970
05045,48571
05051,21780
05055,6723
05059,3147
05079,15432
05086,3144
05088,59738
05091,6129
05093,11471
05101,15497
05107,6282
05113,5425
05120,21021
05125,6426
05129,17534
05134,6342
05138,10541
05142,3068
05145,3227
05147,20015
05148,14611
05150,2003
05154,49084
05172,31365
05190,4758
05197,10106
05206,3136
05209,12820
05212,13076
05234,14312
05237,5752
05240,8779
05250,29804
05264,2328
05266,18208
05282,8629
05284,17156
05306,2893
05308,12113
05310,4868
05313,6661
05315,4017
05318,9734
05321,2356
05347,4543
05353,2608
05360,43174
05361,19968
05364,7809
05368,6347
05376,10262
05380,10645
05390,4308
05400,5949
05411,6435
05425,4984
05440,14470
05467,4168
05475,3000
05480,11055
05483,9196
05490,39198
05495,17210
05501,2216
05541,10860
05543,5971
05576,5699
05579,23748
05585,7402
05591,7600
05604,13671
05607,3965
05615,17260
05628,7807
05631,4560
05642,11067
05647,5229
05649,7815
05652,4858
05656,5401
05658,1664
05659,16117
05660,7684
05664,7891
05665,24144
05667,9222
05670,11620
05674,14942
05679,13406
05686,14488
05690,7626
05697,13769
05736,19181
05756,24991
05761,7360
05789,8759
05790,27978
05792,3888
05809,4358
05819,4587
05837,73759
05842,5034
05847,22734
05854,10622
05856,3587
05858,8827
05861,6227
05873,6313
05885,4796
05887,24288
05890,14259
05893,10182
05895,17734
08001,376880
08078,25822
08137,13957
08141,7909
08296,15667
08372,10613
08421,16859
08433,58579
08436,9945
08520,11691
08549,4314
08558,6975
08560,12268
08573,12668
08606,14496
08634,13508
08638,39210
08675,8124
08685,12235
08758,207121
08770,6588
08832,7100
08849,5934
11001,1303050
13001,408023
13006,15274
13030,8134
13042,5548
13052,29605
13062,4209
13074,10973
13140,13121
13160,7889
13188,7394
13212,11881
13222,7908
13244,41310
13248,5404
13268,6684
13300,8650
13430,93016
13433,14762
13440,6504
13442,32456
13458,6011
13468,33673
13473,13458
13490,0
13549,20941
13580,4998
13600,17495
13620,4567
13647,9068
13650,8030
13654,16024
13655,7649
13657,23224
13667,11263
13670,17210
13673,7719
13683,9508
13688,20684
13744,16117
13760,4488
13780,9461
13810,15807
13836,24475
13838,6504
13873,12125
13894,7192
15001,46281
15022,1741
15047,14226
15051,4011
15087,5678
15090,1953
15092,1762
15097,5371
15104,4304
15106,2266
15109,5128
15114,522
15131,3130
15135,3134
15162,2482
15172,2873
15176,23755
15180,4029
15183,9552
15185,5729
15187,2187
15189,4027
15204,7839
15212,3880
15215,1350
15218,2714
15223,4584
15224,3073
15226,1414
15232,5318
15236,1796
15238,38172
15244,4438
15248,2488
15272,3647
15276,2836
15293,2592
15296,3135
15299,10021
15317,1430
15322,6798
15325,3384
15332,3733
15362,1213
15367,5665
15368,3798
15377,3448
15380,2460
15401,1351
15403,2738
15407,5675
15425,3777
15442,7506
15455,6844
15464,3978
15466,3127
15469,14148
15476,4435
15480,9290
15491,5684
15494,4926
15500,1822
15507,7934
15511,2241
15514,2628
15516,12603
15518,1948
15522,1702
15531,8021
15533,2060
15537,2360
15542,6459
15550,1499
15572,33923
15580,6365
15599,7774
15600,4333
15621,2336
15632,10108
15638,2863
15646,9340
15660,1566
15664,4437
15667,4457
15673,3980
15676,2472
15681,8197
15686,6602
15690,3265
15693,5647
15696,2388
15720,2028
15723,1094
15740,6606
15753,6780
15755,6953
15757,4652
15759,40473
15761,2405
15762,2511
15763,5880
15764,4924
15774,2682
15776,4442
15778,3497
15790,4422
15798,3156
15804,7858
15806,5434
15808,2014
15810,3335
15814,6482
15816,4380
15820,2113
15822,4660
15832,1339
15835,5748
15837,5540
15839,1933
15842,7181
15861,10300
15879,2783
15897,4221
17001,94561
17013,17666
17042,24215
17050,9837
17088,8479
17174,26635
17272,8745
17380,43960
17388,4768
17433,14993
17442,5216
17444,11212
17446,2240
17486,13469
17495,4849
17513,11128
17524,10569
17541,16610
17614,40244
17616,7750
17653,13906
17662,19059
17665,3901
17777,19451
17867,6680
17873,11677
17877,7776
18001,68859
18029,4638
18094,7101
18150,15108
18205,8497
18247,13404
18256,10402
18410,9528
18460,6849
18479,3153
18592,17984
18610,8804
18753,26479
18756,6489
18785,5362
18860,8073
19001,93666
19022,14665
19050,22413
19075,17326
19100,37734
19110,19263
19130,25642
19137,19594
19142,14663
19212,14483
19256,33422
19290,3933
19300,0
19318,17832
19355,18652
19364,11063
19392,8031
19397,17282
19418,9129
19450,15887
19455,14040
19473,16867
19513,4066
19517,29374
19532,27382
19533,6288
19548,19914
19573,15551
19585,12781
19622,7699
19693,7850
19698,39182
19701,4849
19743,30461
19760,9102
19780,10811
19785,5493
19807,20084
19809,16971
19821,23457
19824,10937
19845,7402
20001,170877
20011,62713
20013,34226
20032,15359
20045,9240
20060,17776
20175,24916
20178,15225
20228,22086
20238,15846
20250,11882
20295,7978
20310,4195
20383,11178
20400,12494
20443,8462
20517,16520
20550,12242
20570,21087
20614,11659
20621,18412
20710,10703
20750,12822
20770,11687
20787,10996
23001,133475
23068,31398
23079,12529
23090,12931
23162,44994
23168,8242
23182,20615
23189,42168
23300,13352
23350,9708
23417,68911
23419,10966
23464,9437
23466,42006
23500,16072
23555,25236
23570,22524
23574,15755
23580,23307
23586,9435
23660,45578
23670,65462
23672,23247
23675,20745
23678,12392
23682,0
23686,22217
23807,59713
23815,0
23855,23461
25001,6742
25019,2270
25035,6368
25040,8337
25053,6697
25086,1388
25095,1707
25099,2442
25120,4334
25123,5508
25126,9384
25148,9495
25151,12693
25154,7248
25168,2355
25175,15389
25178,7090
25181,7053
25183,11168
25200,4383
25214,5719
25224,2569
25245,10660
25258,4374
25260,3070
25269,22164
25279,5881
25281,5933
25286,12884
25288,3358
25290,45366
25293,4997
25295,1585
25297,5642
25299,2627
25307,46457
25312,4319
25317,5852
25320,17896
25322,2368
25324,2236
25326,2152
25328,2665
25335,3169
25339,2137
25368,1869
25372,4870
25377,6017
25386,10734
25394,7574
25398,4977
25402,8587
25407,6374
25426,3955
25430,12288
25436,3303
25438,7309
25473,15664
25483,1633
25486,4204
25488,3339
25489,2756
25491,4010
25506,4714
25513,14177
25518,3664
25524,3745
25530,3249
25535,5660
25572,9185
25580,2414
25592,4066
25594,3835
25596,6141
25599,4497
25612,3870
25645,5296
25649,7774
25653,4331
25658,4115
25662,6406
25718,5533
25736,2055
25740,12704
25743,8743
25745,6139
25754,91612
25758,1919
25769,4137
25772,3836
25777,3018
25779,5334
25781,2059
25785,2779
25793,3186
25797,4224
25799,3585
25805,2197
25807,2298
25815,11835
25817,3373
25823,2907
25839,7873
25841,6178
25843,13581
25845,4858
25851,3120
25862,6777
25867,2480
25871,1582
25873,8457
25875,14810
25878,10258
25885,14352
25898,1176
25899,24630
27001,65835
27006,7385
27025,15576
27050,4508
27073,7045
27075,7441
27077,13588
27099,8962
27135,3810
27150,4608
27160,2718
27205,8948
27245,5303
27250,8369
