DANE,IPM
05,41.68
08,48.66
11,26.64
13,51.51
15,58.02
17,43.75
18,53.8
19,55
20,56.85
23,64.17
25,43.98
27,74.01
41,55.6
44,57.1
47,58.7
50,38.37
52,58.4
54,59.37
63,45.53
66,35.54
68,41.33
70,65.31
73,51
76,36.98
