DANE,Subsidiado
05001,581390
05002,14895
05004,1469
05021,2802
05030,10711
05031,15146
05034,29229
05036,3505
05038,9791
05040,12358
05042,16076
05044,5855
05045,52887
05051,24954
05055,7243
05059,3211
05079,18494
05086,3614
05088,95828
05091,7699
05093,13946
05101,19488
05107,6804
05113,5421
05120,28288
05125,6781
05129,17454
05134,6610
05138,12832
05142,3189
05145,3742
05147,23767
05148,14556
05150,2069
05154,62277
05172,38502
05190,6554
05197,10488
05206,3244
05209,14663
05212,16484
05234,17651
05237,6618
05240,8666
05250,39492
05264,2306
05266,18247
05282,9356
05284,18476
05306,3167
05308,12487
05310,5307
05313,6773
05315,4245
05318,11200
05321,2329
05347,4517
05353,2931
05360,50958
05361,21458
05364,10154
05368,6214
05376,10579
05380,11337
05390,4826
05400,8197
05411,7818
05425,6421
05440,15652
05467,4753
05475,3394
05480,14513
05483,9839
05490,45151
05495,20365
05501,2152
05541,11934
05543,7019
05576,6040
05579,26156
05585,7950
05591,9713
05604,16088
05607,4086
05615,18613
05628,7791
05631,4963
05642,13664
05647,4923
05649,8737
05652,4995
05656,6543
05658,2070
05659,20361
05660,8983
05664,9028
05665,29700
05667,9109
05670,13368
05674,15137
05679,14149
05686,16154
05690,7683
05697,15095
05736,21900
05756,26057
05761,8419
05789,9306
05790,31448
05792,3898
05809,4135
05819,4419
05837,89719
05842,5852
05847,25007
05854,13784
05856,3849
05858,10039
05861,7260
05873,7459
05885,5038
05887,30119
05890,15661
05893,10456
05895,20872
08001,581190
08078,38180
08137,20755
08141,12474
08296,21082
08372,12263
08421,19569
08433,60924
08436,13854
08520,15408
08549,4810
08558,9674
08560,16175
08573,16585
08606,19089
08634,16802
08638,62446
08675,11105
08685,15492
08758,252376
08770,8510
08832,8951
08849,6651
11001,1304355
13001,410227
13006,23823
13030,9263
13042,7051
13052,43326
13062,5793
13074,15281
13140,20484
13160,7445
13188,10702
13212,15864
13222,10669
13244,66190
13248,7295
13268,8313
13300,10628
13430,123209
13433,20321
13440,9202
13442,46032
13458,10606
13468,46794
13473,15001
13490,3124
13549,22018
13580,5574
13600,12422
13620,5876
13647,14473
13650,10123
13654,23244
13655,11027
13657,32362
13667,14219
13670,21961
13673,11163
13683,13451
13688,24259
13744,15682
13760,7279
13780,12068
13810,19678
13836,36601
13838,10229
13873,18823
13894,8960
15001,51680
15022,1649
15047,14835
15051,4103
15087,5879
15090,1709
15092,1454
15097,5228
15104,4166
15106,2091
15109,4456
15114,529
15131,3105
15135,2669
15162,2375
15172,2565
15176,27753
15180,4029
15183,9000
15185,5330
15187,2306
15189,3891
15204,7651
15212,3394
15215,1128
15218,2736
15223,6345
15224,3186
15226,1395
15232,5336
15236,1792
15238,40253
15244,4173
15248,2496
15272,3782
15276,2701
15293,2695
15296,3349
15299,9873
15317,1351
15322,6039
15325,3274
15332,3993
15362,1202
15367,5468
15368,3343
15377,3580
15380,2334
15401,1258
15403,2440
15407,6292
15425,3632
15442,6379
15455,5285
15464,3634
15466,2740
15469,14506
15476,4388
15480,7595
15491,5678
15494,4896
15500,1748
15507,7289
15511,2034
15514,2173
15516,13433
15518,1752
15522,1884
15531,7009
15533,2049
15537,2156
15542,6411
15550,1587
15572,30919
15580,5627
15599,7744
15600,4391
15621,2258
15632,10156
15638,3164
15646,9378
15660,1470
15664,4453
15667,4164
15673,3611
15676,2528
15681,6508
15686,6749
15690,2715
15693,5728
15696,2509
15720,1885
15723,1001
15740,6834
15753,6506
15755,5767
15757,4435
15759,40732
15761,2183
15762,2371
15763,5547
15764,5412
15774,2639
15776,4482
15778,3276
15790,4099
15798,3198
15804,7752
15806,5546
15808,1897
15810,3192
15814,6880
15816,4398
15820,1846
15822,4839
15832,1340
15835,5812
15837,5274
15839,2013
15842,7084
15861,11353
15879,2891
15897,3922
17001,86890
17013,17398
17042,25763
17050,9996
17088,8234
17174,27566
17272,8520
17380,44700
17388,4571
17433,14577
17442,5603
17444,11386
17446,2125
17486,14671
17495,4560
17513,10830
17524,9688
17541,16550
17614,40500
17616,8413
17653,13929
17662,18474
17665,3801
17777,20178
17867,6701
17873,14653
17877,7864
18001,95132
18029,4693
18094,8758
18150,21076
18205,9819
18247,15826
18256,12669
18410,12292
18460,8786
18479,3385
18592,22558
18610,10309
18753,35752
18756,8947
18785,6575
18860,8638
19001,121905
19022,16643
19050,23898
19075,19801
19100,40994
19110,22849
19130,33066
19137,28719
19142,17069
19212,21292
19256,43400
19290,5130
19300,7717
19318,23991
19355,24487
19364,14639
19392,10849
19397,19657
19418,9428
19450,15642
19455,14675
19473,23255
19513,5072
19517,32033
19532,28258
19533,7957
19548,30145
19573,21296
19585,15550
19622,9336
19693,9987
19698,52675
19701,6094
19743,35874
19760,10604
19780,16530
19785,6686
19807,25533
19809,22496
19821,27325
19824,17293
19845,8925
20001,286856
20011,60197
20013,49300
20032,18070
20045,13614
20060,27903
20175,34825
20178,20612
20228,28747
20238,22103
20250,18611
20295,9859
20310,3709
20383,12821
20400,17387
20443,8997
20517,17841
20550,15609
20570,26958
20614,10458
20621,22432
20710,14357
20750,13716
20770,12908
20787,13010
23001,283950
23068,40419
23079,15636
23090,17269
23162,63665
23168,14542
23182,38291
23189,48258
23300,14775
23350,11341
23417,95780
23419,16367
23464,14302
23466,61701
23500,23179
23555,51548
23570,28026
