dane,Contributivo
27077,190
27099,44
27135,38
27150,47
27160,35
27205,1240
27245,725
27250,47
27361,5511
27372,65
27413,77
27425,5
27430,33
27450,179
27491,479
27495,122
27580,17
27600,19
27615,482
27660,400
27745,77
27787,567
27800,692
27810,140
41001,196932
41006,323
41013,669
41016,2147
41020,458
41026,148
41078,587
41132,7342
41206,297
41244,149
41298,16586
41306,4515
41319,1029
41349,455
41357,571
41359,999
41378,480
41396,10428
41483,145
41503,330
41518,291
41524,1836
41530,189
41548,445
41551,34779
41615,1658
41660,269
41668,1897
41676,472
41770,929
41791,929
41797,1285
41799,379
41801,460
41807,892
41872,341
41885,2001
44001,65802
44035,9597
44078,9511
44090,1071
44098,515
44110,508
44279,11132
44378,4520
44420,62
44430,28090
44560,1066
44650,12270
44847,3956
44855,1631
44874,5063
47001,251423
47030,3775
47053,9858
47058,1045
47161,215
47170,670
47189,44534
47205,38
47245,4901
47258,187
47268,331
47288,28056
47318,498
47460,17
47541,20
47545,270
47551,1896
47555,9237
47570,409
47605,43
47660,105
47675,142
47692,237
47703,118
47707,377
47720,134
47745,314
47798,24
47960,6
47980,13480
50001,275492
50006,37483
50110,168
50124,669
50150,2901
50223,306
50226,10935
50245,135
50251,289
50270,421
50287,815
50313,18062
50318,1024
50325,559
50330,523
50350,563
50370,436
50400,314
50450,338
50568,12370
50573,8607
50577,720
50590,495
50606,4162
50680,3499
50683,479
50686,117
50689,8843
50711,773
52001,166405
52019,246
52022,102
52036,253
52051,139
52079,1121
52083,192
52110,698
52203,214
52207,195
52210,85
52215,205
52224,93
52227,486
52233,294
52240,425
52250,344
52254,66
52256,218
52258,320
52260,424
52287,111
52317,218
52320,88
52323,54
52352,67
52354,114
52356,26804
52378,959
52381,137
52385,133
52390,26
52399,3869
52405,120
52411,161
52418,182
52427,156
52435,98
52473,161
52480,117
52490,206
52506,52
52520,35
52540,267
52560,87
52565,68
52573,156
52585,210
52612,644
52621,193
52678,2423
52683,778
52685,166
52687,294
52693,829
52694,119
52696,80
52699,134
52720,42
52786,200
52788,190
52835,29006
52838,7452
52885,157
54001,337325
54003,376
54051,325
54099,264
54109,127
54125,12
54128,276
54172,716
54174,60
54206,256
54223,98
54239,110
54245,145
54250,39
54261,1038
54313,197
54344,48
54347,52
54377,73
54385,182
54398,55
54405,9483
54418,87
54480,15
54498,35649
54518,20889
54520,49
54553,70
54599,135
54660,281
54670,39
54673,175
54680,72
54720,1231
54743,15
54800,57
54810,5998
54820,723
54871,113
54874,5675
63001,165439
63111,278
63130,22605
63190,4757
63212,562
63272,2127
63302,838
63401,8173
63470,8619
63548,1008
63594,7662
63690,1142
66001,304389
66045,1928
66075,715
66088,4146
66170,101896
66318,1117
66383,804
66400,18197
66440,3245
66456,955
66572,769
66594,1991
66682,31159
66687,2348
68001,462880
68013,96
68020,39
68051,349
68077,13864
68079,325
68081,112018
68092,564
68101,294
68121,65
68132,1215
68147,160
68152,46
68160,61
68162,359
68167,746
68169,110
68176,179
68179,104
68190,4852
68207,178
68209,84
68211,761
68217,64
68229,450
68235,963
68245,109
68250,112
68255,2299
68264,19
68266,62
68271,183
68276,144184
68296,146
68298,74
68307,69280
68318,171
68320,601
68322,89
68324,118
68327,283
68344,25
68368,77
68370,1
68377,498
68385,697
68397,189
68406,14797
68418,1623
68425,31
68432,8070
68444,380
68464,581
68468,39
68498,71
68500,1534
68502,202
68522,33
68524,80
68533,142
68547,56783
68549,157
68572,2227
68573,312
68575,13227
68615,2680
68655,8125
68669,398
68673,47
68679,42394
68682,37
68684,86
68686,40
68689,6891
68705,45
68720,20
68745,383
68755,15239
68770,828
68773,192
68780,343
68820,186
68855,180
68861,5123
68867,745
68872,212
68895,1797
70001,110065
70110,77
70124,290
70204,39
70215,16464
70221,2232
70230,55
70233,12
70235,270
70265,343
70400,842
70418,604
70429,1127
70473,261
70508,1196
70523,74
70670,2582
70678,444
70702,164
70708,4605
70713,3174
70717,1381
70742,2510
70771,488
70820,8408
70823,1571
73001,307963
73024,297
73026,746
73030,1610
73043,265
73055,1255
73067,538
73124,4067
73148,1020
73152,206
73168,9028
73200,264
73217,949
73226,280
73236,213
73268,37470
73270,290
73275,3439
73283,5259
73319,2177
73347,102
73349,10501
73352,423
73408,6206
73411,7899
73443,12485
73449,17159
73461,135
73483,810
73504,1359
73520,319
73547,726
73555,505
73563,787
73585,3186
73616,190
73622,907
73624,816
73671,1013
73675,374
73678,359
73686,522
73770,106
73854,150
73861,1667
73870,318
73873,273
76001,1409326
76020,1894
76036,5957
76041,3593
76054,655
76100,1354
76109,94617
76111,73205
76113,8272
76122,9100
76126,4008
76130,36998
76147,69908
76233,8534
76243,732
76246,675
76248,25363
76250,941
76275,29672
76306,6523
76318,13781
76364,44959
76377,1650
76400,9468
76403,3681
76497,2733
76520,177382
76563,22645
76606,4406
76616,3765
76622,11485
76670,3960
76736,8770
76823,2262
76828,1930
76834,109089
76845,983
76863,1249
76869,2289
76890,3592
76892,49419
76895,20791
81001,21776
81065,1411
81220,155
81300,206
81591,120
81736,7554
81794,4300
85001,78101
85010,11709
85015,121
85125,788
85136,80
85139,3244
85162,4605
85225,520
85230,1317
85250,4686
85263,971
85279,89
85300,635
85315,125
85325,679
85400,260
85410,7533
85430,1424
85440,16120
86001,13125
86219,156
86320,7536
86568,11507
86569,279
86571,429
86573,1169
86749,3089
86755,98
86757,321
86760,102
86865,1847
86885,2011
88001,29566
88564,1570
91001,12313
91540,116
94001,3531
95001,10805
95015,230
95025,253
95200,182
97001,2444
97161,11
97666,1
99001,5111
99524,36
99624,12
99773,32
