DIVIPOLA,IDH_2005
25019,63.42
25035,74.81
25040,63.99
25053,64.72
25086,60.89
25095,63.08
25099,65.31
25120,61.33
25123,63.17
25126,68.09
25148,61.02
25151,63.2
25154,60.09
25168,61.01
25175,70.75
25178,62.91
25181,64.32
25183,64.19
25200,75.85
25214,71.51
25224,63.86
25245,65.48
25258,59.46
25260,63.65
25269,68.6
25279,72.85
25281,60.24
25286,71.73
25288,66.8
25290,65.72
25293,63.5
25295,63.99
25297,63.86
25299,61.41
25307,69.2
25312,66.65
25317,63.16
25320,61.16
25322,66.03
25324,61.31
25326,65.6
25328,63.33
25335,62.5
25339,62.87
25368,61.51
25372,61.82
25377,69.6
25386,65.26
25394,58.42
25398,58.81
25402,67.02
25407,62.96
25426,60.86
25430,69.17
25436,63.02
25438,62.18
25473,72.38
25483,62.98
25486,65.06
25488,69.39
25489,60.34
25491,62.34
25506,60.72
25513,62.84
25518,58.57
25524,61.86
25530,63.5
25535,62.92
25572,66.95
25580,62.5
25592,59.78
25594,62
25596,59.54
25599,63.12
25612,89.39
25645,64.83
25649,62.05
25653,60.35
25658,62.18
25662,61.12
25718,65.13
25736,66.93
25740,70
25743,62.53
25745,64.75
25754,64.1
25758,76.29
25769,68.06
25772,64.41
25777,59.64
25779,64.54
25781,63.62
25785,65.47
25793,63.36
25797,64.5
25799,75.14
25805,62.6
25807,61.56
25815,63.54
25817,91.7
25823,56.68
25839,62.14
25841,61.76
25843,64.28
25845,63.08
25851,63.5
25862,59.9
25867,61.2
25871,59.64
25873,62.72
25875,64.61
25878,59.54
25885,55.87
25898,64.85
25899,67.3
27001,61.27
27006,59.71
27025,44.87
27050,52.9
27073,41.2
27075,62.18
27077,53.77
27099,56.55
27135,50.45
27150,47.37
27160,56.4
27205,59.82
27245,58.4
27250,56.77
27361,58.43
27372,71.55
27413,54.42
27425,52.15
27430,55.32
27450,55.42
27491,48.19
27495,59.23
27580,52.61
27600,55.93
27615,60.44
27660,56.39
27745,60.75
27787,59.35
27800,57.55
27810,55.8
41001,66.35
41006,58.99
41013,61.02
41016,60.01
41020,58.29
41026,63.93
41078,62.38
41132,61.42
41206,57.01
41244,60.63
41298,60.57
41306,60.32
41319,60.07
41349,58.91
41357,58.41
41359,58.88
41378,59.99
41396,59.87
41483,60.85
41503,58.32
41518,61.27
41524,61.22
41530,58.9
41548,59.8
41551,61.54
41615,61.63
41660,58.45
41668,59.6
41676,59.34
41770,59.5
41791,59.43
41797,61.87
41799,58.54
41801,58.41
41807,60.66
41872,61.18
41885,68.43
44001,60.73
44035,63.63
44078,60.63
44090,52.82
44098,55.69
44110,57.72
44279,59.21
44378,56.32
44420,57.68
44430,57.74
44560,45.94
44650,58.94
44847,41.6
44855,55.28
44874,58.47
47001,65.3
47030,57.45
47053,57.81
47058,57.26
47161,55.9
47170,56.43
47189,61.16
47205,55.39
47245,58.49
47258,56.82
47268,58.27
47288,59.85
47318,59.42
47460,55.46
47541,56.71
47545,58.76
47551,57.38
47555,55.92
47570,55.3
47605,56.3
47660,52.72
47675,57.33
47692,59.12
47703,56.8
47707,58.23
47720,57.63
47745,54.71
47798,56.91
47960,56.18
47980,58.59
50001,66.81
50006,64.59
50110,67.18
50124,69.7
50150,72.09
50223,62.36
50226,65.89
50245,61.62
50251,60.95
50270,62.69
50287,62.85
50313,63.55
50318,64.23
50325,53.83
50330,60.87
50350,61.84
50370,56.55
50400,60.47
50450,55.53
50568,60.02
50573,65.37
50577,58.7
50590,59.72
50606,65.03
50680,69.32
50683,61.41
50686,60.48
50689,63.78
50711,58.94
52001,65.55
52019,58.27
52022,61.59
52036,59.47
52051,55.63
52079,56.78
52083,62.66
52110,58.2
52203,58.26
52207,58.44
52210,61.77
52215,60.07
52224,59.36
52227,58.83
52233,58.41
52240,60.71
52250,52.22
52254,58.75
52256,56.43
52258,60.65
52260,59.06
52287,57.24
52317,59.66
52320,60.51
52323,61.45
52352,60.35
52354,63.6
52356,63.55
52378,57.95
52381,59.18
52385,60.28
52390,58.63
52399,59.71
52405,56.57
52411,58.01
52418,58.74
52427,55.18
52435,58.87
52473,57.33
52480,61.23
52490,53.12
52506,60.37
52520,56.63
52540,58.48
52560,59.8
52565,57.61
52573,63.11
52585,61.51
52612,56.47
52621,51.62
52678,58.67
52683,59.12
52685,58.82
52687,58.83
52693,58.9
52694,58.44
52696,57.51
52699,59.2
52720,60.49
52786,58.86
52788,59.03
52835,58.32
52838,60.61
52885,59.5
54001,65.51
54003,55.34
54051,59.39
54099,61.55
54109,56.01
54125,61.76
54128,58.43
54172,61.87
54174,59.28
54206,54.89
54223,58.05
54239,59.87
54245,53.32
54250,52.05
54261,59.12
54313,60.89
54344,51.86
54347,60.53
54377,59.76
54385,57.86
54398,53.38
54405,63.61
54418,58.91
54480,62.54
54498,60.2
54518,66.02
54520,60.83
54553,57.85
54599,60.61
54660,59.12
54670,52.21
54673,65
54680,60.39
54720,57.23
54743,58.88
54800,52.8
54810,56.06
54820,60.57
54871,56.23
54874,62.62
63001,68.97
63111,65.93
63130,63.23
63190,64.04
63212,60.96
63272,62.78
63302,61.6
63401,61.82
63470,61.52
63548,62.24
63594,62.39
63690,65.26
66001,69.12
66045,61.55
66075,65.85
66088,60.86
66170,65.86
66318,60.91
66383,61.21
66400,61.06
66440,61.01
66456,56.76
66572,52.66
66594,59.88
66682,62.98
66687,60.73
68001,68.67
68013,56.85
68020,59.67
68051,59.11
68077,62.91
68079,62.9
68081,88.53
68092,59.22
68101,56.57
68121,61.51
68132,64.56
68147,61.78
68152,60.24
68160,58.17
68162,61.43
68167,62.28
68169,60.53
68176,59.93
