DANE,IPM
05,46.15
08,52.35
11,31.79
13,53.75
15,64.31
17,46.86
18,52.34
19,60.67
20,58.67
23,64.09
25,48.75
27,69.09
41,67.31
44,58.32
47,59.66
50,40.49
52,69.52
54,58.85
63,37.82
66,34.6
68,44.31
70,58.18
73,52.03
76,39.28
